(2, 1, '2017-05-13 16:00', 102, 1, 1, 12, '2017-07-30 13:22:42', '2017-07-30 13:22:42'), 
(2, 1, '2017-05-13 19:00', 72, 1, 1, 62, '2017-07-30 13:22:42', '2017-07-30 13:22:42'), 
(2, 1, '2017-05-14 11:00', 112, 3, 2, 152, '2017-07-30 13:22:42', '2017-07-30 13:22:42'), 
(2, 1, '2017-05-14 16:00', 132, 4, 0, 182, '2017-07-30 13:22:42', '2017-07-30 13:22:42'), 
(2, 1, '2017-05-14 16:00', 92, 1, 0, 162, '2017-07-30 13:22:42', '2017-07-30 13:22:42'), 
(2, 1, '2017-05-14 16:00', 42, 6, 2, 22, '2017-07-30 13:22:42', '2017-07-30 13:22:42'), 
(2, 1, '2017-05-14 16:00', 142, 4, 0, 172, '2017-07-30 13:22:42', '2017-07-30 13:22:42'), 
(2, 1, '2017-05-14 16:00', 32, 0, 0, 192, '2017-07-30 13:22:42', '2017-07-30 13:22:42'), 
(2, 1, '2017-05-14 19:00', 122, 2, 0, 52, '2017-07-30 13:22:42', '2017-07-30 13:22:42'), 
(2, 1, '2017-05-15 20:00', 82, 4, 1, 2, '2017-07-30 13:22:42', '2017-07-30 13:22:42'), 
(2, 2, '2017-05-20 16:00', 152, 1, 0, 82, '2017-07-30 13:22:45', '2017-07-30 13:22:45'), 
(2, 2, '2017-05-20 19:00', 2, 0, 3, 102, '2017-07-30 13:22:45', '2017-07-30 13:22:45'), 
(2, 2, '2017-05-20 19:00', 62, 1, 0, 132, '2017-07-30 13:22:45', '2017-07-30 13:22:45'), 
(2, 2, '2017-05-21 11:00', 182, 2, 1, 42, '2017-07-30 13:22:45', '2017-07-30 13:22:45'), 
(2, 2, '2017-05-21 16:00', 12, 1, 2, 112, '2017-07-30 13:22:45', '2017-07-30 13:22:45'), 
(2, 2, '2017-05-21 16:00', 22, 0, 2, 122, '2017-07-30 13:22:45', '2017-07-30 13:22:45'), 
(2, 2, '2017-05-21 16:00', 192, 0, 1, 72, '2017-07-30 13:22:45', '2017-07-30 13:22:45'), 
(2, 2, '2017-05-21 18:00', 52, 2, 0, 142, '2017-07-30 13:22:45', '2017-07-30 13:22:45'), 
(2, 2, '2017-05-21 19:00', 172, 1, 1, 92, '2017-07-30 13:22:45', '2017-07-30 13:22:45'), 
(2, 2, '2017-05-22 20:00', 162, 2, 0, 32, '2017-07-30 13:22:45', '2017-07-30 13:22:45'), 
(2, 3, '2017-05-27 16:00', 182, 3, 2, 112, '2017-07-30 13:22:46', '2017-07-30 13:22:46'), 
(2, 3, '2017-05-27 19:00', 162, 2, 0, 132, '2017-07-30 13:22:46', '2017-07-30 13:22:46'), 
(2, 3, '2017-05-27 21:00', 192, 0, 1, 82, '2017-07-30 13:22:46', '2017-07-30 13:22:46'), 
(2, 3, '2017-05-28 11:00', 12, 2, 2, 142, '2017-07-30 13:22:46', '2017-07-30 13:22:46'), 
(2, 3, '2017-05-28 16:00', 152, 0, 1, 92, '2017-07-30 13:22:46', '2017-07-30 13:22:46'), 
(2, 3, '2017-05-28 16:00', 22, 1, 1, 102, '2017-07-30 13:22:46', '2017-07-30 13:22:46'), 
(2, 3, '2017-05-28 16:00', 2, 0, 1, 72, '2017-07-30 13:22:46', '2017-07-30 13:22:46'), 
(2, 3, '2017-05-28 18:00', 172, 4, 3, 122, '2017-07-30 13:22:46', '2017-07-30 13:22:46'), 
(2, 3, '2017-05-28 19:00', 52, 1, 0, 42, '2017-07-30 13:22:46', '2017-07-30 13:22:46'), 
(2, 3, '2017-05-29 20:00', 62, 2, 0, 32, '2017-07-30 13:22:46', '2017-07-30 13:22:46'), 
(2, 4, '2017-06-03 16:00', 82, 1, 0, 22, '2017-07-30 13:22:47', '2017-07-30 13:22:47'), 
(2, 4, '2017-06-03 18:00', 112, 2, 1, 192, '2017-07-30 13:22:47', '2017-07-30 13:22:47'), 
(2, 4, '2017-06-03 19:00', 72, 2, 0, 152, '2017-07-30 13:22:47', '2017-07-30 13:22:47'), 
(2, 4, '2017-06-04 11:00', 102, 0, 0, 52, '2017-07-30 13:22:47', '2017-07-30 13:22:47'), 
(2, 4, '2017-06-04 11:00', 32, 1, 0, 172, '2017-07-30 13:22:47', '2017-07-30 13:22:47'), 
(2, 4, '2017-06-04 16:00', 132, 0, 0, 12, '2017-07-30 13:22:47', '2017-07-30 13:22:47'), 
(2, 4, '2017-06-04 16:00', 122, 2, 0, 182, '2017-07-30 13:22:47', '2017-07-30 13:22:47'), 
(2, 4, '2017-06-04 16:00', 142, 1, 0, 162, '2017-07-30 13:22:47', '2017-07-30 13:22:47'), 
(2, 4, '2017-06-04 19:00', 92, 0, 2, 62, '2017-07-30 13:22:47', '2017-07-30 13:22:47'), 
(2, 4, '2017-06-05 20:00', 42, 3, 0, 2, '2017-07-30 13:22:47', '2017-07-30 13:22:47'), 
(2, 5, '2017-06-06 20:00', 112, 1, 1, 22, '2017-07-30 13:22:49', '2017-07-30 13:22:49'), 
(2, 5, '2017-06-07 19:30', 12, 1, 0, 32, '2017-07-30 13:22:49', '2017-07-30 13:22:49'), 
(2, 5, '2017-06-07 19:30', 82, 1, 0, 132, '2017-07-30 13:22:49', '2017-07-30 13:22:49'), 
(2, 5, '2017-06-07 21:00', 152, 1, 0, 52, '2017-07-30 13:22:49', '2017-07-30 13:22:49'), 
(2, 5, '2017-06-07 21:45', 182, 2, 5, 72, '2017-07-30 13:22:49', '2017-07-30 13:22:49'), 
(2, 5, '2017-06-07 21:45', 172, 2, 0, 102, '2017-07-30 13:22:49', '2017-07-30 13:22:49'), 
(2, 5, '2017-06-08 19:30', 162, 2, 0, 192, '2017-07-30 13:22:49', '2017-07-30 13:22:49'), 
(2, 5, '2017-06-08 19:30', 2, 3, 0, 142, '2017-07-30 13:22:49', '2017-07-30 13:22:49'), 
(2, 5, '2017-06-08 20:00', 62, 3, 6, 122, '2017-07-30 13:22:49', '2017-07-30 13:22:49'), 
(2, 5, '2017-06-08 21:00', 42, 1, 0, 92, '2017-07-30 13:22:49', '2017-07-30 13:22:49'), 
(2, 6, '2017-06-10 16:00', 132, 3, 1, 112, '2017-07-30 13:22:50', '2017-07-30 13:22:50'), 
(2, 6, '2017-06-10 19:00', 182, 2, 1, 172, '2017-07-30 13:22:50', '2017-07-30 13:22:50'), 
(2, 6, '2017-06-11 11:00', 52, 2, 2, 82, '2017-07-30 13:22:50', '2017-07-30 13:22:50'), 
(2, 6, '2017-06-11 16:00', 72, 3, 2, 162, '2017-07-30 13:22:50', '2017-07-30 13:22:50'), 
(2, 6, '2017-06-11 16:00', 192, 2, 0, 12, '2017-07-30 13:22:50', '2017-07-30 13:22:50'), 
(2, 6, '2017-06-11 16:00', 142, 3, 2, 62, '2017-07-30 13:22:50', '2017-07-30 13:22:50'), 
(2, 6, '2017-06-11 16:00', 32, 1, 1, 102, '2017-07-30 13:22:50', '2017-07-30 13:22:50'), 
(2, 6, '2017-06-11 18:30', 92, 2, 0, 2, '2017-07-30 13:22:50', '2017-07-30 13:22:50'), 
(2, 6, '2017-06-11 19:00', 22, 0, 2, 152, '2017-07-30 13:22:50', '2017-07-30 13:22:50'), 
(2, 6, '2017-06-12 20:00', 122, 1, 0, 42, '2017-07-30 13:22:50', '2017-07-30 13:22:50'), 
(2, 7, '2017-06-14 19:30', 12, 0, 1, 22, '2017-07-30 13:22:50', '2017-07-30 13:22:50'), 
(2, 7, '2017-06-14 19:30', 172, 0, 0, 162, '2017-07-30 13:22:50', '2017-07-30 13:22:50'), 
(2, 7, '2017-06-14 19:30', 192, 2, 2, 52, '2017-07-30 13:22:50', '2017-07-30 13:22:50'), 
(2, 7, '2017-06-14 19:30', 2, 3, 1, 32, '2017-07-30 13:22:50', '2017-07-30 13:22:50'), 
(2, 7, '2017-06-14 21:00', 102, 2, 0, 142, '2017-07-30 13:22:50', '2017-07-30 13:22:50'), 
(2, 7, '2017-06-14 21:45', 152, 1, 0, 132, '2017-07-30 13:22:50', '2017-07-30 13:22:50'), 
(2, 7, '2017-06-14 21:45', 72, 1, 0, 92, '2017-07-30 13:22:50', '2017-07-30 13:22:50'), 
(2, 7, '2017-06-14 21:45', 62, 2, 1, 182, '2017-07-30 13:22:50', '2017-07-30 13:22:50'), 
(2, 7, '2017-06-15 16:00', 82, 0, 0, 42, '2017-07-30 13:22:50', '2017-07-30 13:22:50'), 
(2, 7, '2017-06-15 21:00', 112, 0, 2, 122, '2017-07-30 13:22:50', '2017-07-30 13:22:50'), 
(2, 8, '2017-06-17 16:00', 2, 0, 1, 22, '2017-07-30 13:22:52', '2017-07-30 13:22:52'), 
(2, 8, '2017-06-17 19:00', 182, 1, 0, 32, '2017-07-30 13:22:52', '2017-07-30 13:22:52'), 
(2, 8, '2017-06-17 21:00', 152, 0, 0, 142, '2017-07-30 13:22:52', '2017-07-30 13:22:52'), 
(2, 8, '2017-06-18 11:00', 82, 0, 0, 72, '2017-07-30 13:22:52', '2017-07-30 13:22:52'), 
(2, 8, '2017-06-18 16:00', 112, 2, 2, 102, '2017-07-30 13:22:52', '2017-07-30 13:22:52'), 
(2, 8, '2017-06-18 16:00', 162, 1, 2, 12, '2017-07-30 13:22:52', '2017-07-30 13:22:52'), 
(2, 8, '2017-06-18 16:00', 42, 2, 4, 132, '2017-07-30 13:22:52', '2017-07-30 13:22:52'), 
(2, 8, '2017-06-18 16:00', 62, 0, 2, 52, '2017-07-30 13:22:52', '2017-07-30 13:22:52'), 
(2, 8, '2017-06-18 19:00', 172, 1, 3, 192, '2017-07-30 13:22:52', '2017-07-30 13:22:52'), 
(2, 8, '2017-06-19 20:00', 92, 3, 3, 122, '2017-07-30 13:22:52', '2017-07-30 13:22:52'), 
(2, 9, '2017-06-21 19:30', 192, 0, 2, 152, '2017-07-30 13:22:53', '2017-07-30 13:22:53'), 
(2, 9, '2017-06-21 21:00', 52, 3, 1, 182, '2017-07-30 13:22:53', '2017-07-30 13:22:53'), 
(2, 9, '2017-06-21 21:00', 132, 1, 0, 2, '2017-07-30 13:22:53', '2017-07-30 13:22:53'), 
(2, 9, '2017-06-21 21:45', 12, 2, 2, 172, '2017-07-30 13:22:53', '2017-07-30 13:22:53'), 
(2, 9, '2017-06-21 21:45', 22, 1, 0, 162, '2017-07-30 13:22:53', '2017-07-30 13:22:53'), 
(2, 9, '2017-06-21 21:45', 32, 0, 3, 112, '2017-07-30 13:22:53', '2017-07-30 13:22:53'), 
(2, 9, '2017-06-22 19:30', 72, 3, 0, 42, '2017-07-30 13:22:53', '2017-07-30 13:22:53'), 
(2, 9, '2017-06-22 19:30', 142, 1, 0, 92, '2017-07-30 13:22:53', '2017-07-30 13:22:53'), 
(2, 9, '2017-06-22 21:00', 102, 5, 1, 62, '2017-07-30 13:22:53', '2017-07-30 13:22:53'), 
(2, 9, '2017-06-22 21:00', 122, 2, 0, 82, '2017-07-30 13:22:53', '2017-07-30 13:22:53'), 
(2, 10, '2017-06-24 19:00', 152, 0, 1, 172, '2017-07-30 13:22:54', '2017-07-30 13:22:54'), 
(2, 10, '2017-06-25 11:00', 182, 1, 0, 2, '2017-07-30 13:22:54', '2017-07-30 13:22:54'), 
(2, 10, '2017-06-25 16:00', 162, 1, 1, 112, '2017-07-30 13:22:54', '2017-07-30 13:22:54'), 
(2, 10, '2017-06-25 16:00', 92, 2, 0, 82, '2017-07-30 13:22:54', '2017-07-30 13:22:54'), 
(2, 10, '2017-06-25 16:00', 22, 4, 1, 192, '2017-07-30 13:22:54', '2017-07-30 13:22:54'), 
(2, 10, '2017-06-25 16:00', 122, 0, 1, 72, '2017-07-30 13:22:54', '2017-07-30 13:22:54'), 
(2, 10, '2017-06-25 16:00', 142, 1, 2, 132, '2017-07-30 13:22:54', '2017-07-30 13:22:54'), 
(2, 10, '2017-06-25 18:30', 42, 0, 1, 102, '2017-07-30 13:22:54', '2017-07-30 13:22:54'), 
